index,term,idf
396,"network",6.14967
397,"orange",6.14967
398,"po",6.14967
399,"receive",6.14967
400,"sir",6.14967
401,"texts",6.14967
402,"thanx",6.14967
403,"those",6.14967
404,"two",6.14967
405,"video",6.14967
406,"world",6.14967
407,"yo",6.14967
408,"1st",6.19223
409,"apply",6.19223
410,"bed",6.19223
411,"called",6.19223
412,"camera",6.19223
413,"collect",6.19223
414,"collection",6.19223
415,"dad",6.19223
416,"does",6.19223
417,"dunno",6.19223
418,"evening",6.19223
419,"ever",6.19223
420,"fun",6.19223
421,"little",6.19223
422,"luv",6.19223
423,"mail",6.19223
424,"office",6.19223
425,"put",6.19223
426,"since",6.19223
427,"speak",6.19223
428,"thank",6.19223
429,"til",6.19223
430,"until",6.19223
431,"wake",6.19223
432,"watch",6.19223
433,"wif",6.19223
434,"working",6.19223
435,"asked",6.23668
436,"awarded",6.23668
437,"details",6.23668
438,"enough",6.23668
439,"god",6.23668
440,"goin",6.23668
441,"guy",6.23668
442,"must",6.23668
443,"part",6.23668
444,"plan",6.23668
445,"show",6.23668
446,"times",6.23668
447,"wanted",6.23668
448,"watching",6.23668
449,"wot",6.23668
450,"yesterday",6.23668
451,"abt",6.2832
452,"birthday",6.2832
453,"calls",6.2832
454,"everything",6.2832
455,"g",6.2832
456,"huh",6.2832
457,"important",6.2832
458,"making",6.2832
459,"minutes",6.2832
460,"price",6.2832
461,"ringtone",6.2832
462,"smile",6.2832
463,"though",6.2832
464,"while",6.2832
465,"000",6.33199
466,"able",6.33199
467,"address",6.33199
468,"afternoon",6.33199
469,"away",6.33199
470,"came",6.33199
471,"dude",6.33199
472,"else",6.33199
473,"haf",6.33199
474,"havent",6.33199
475,"leh",6.33199
476,"lei",6.33199
477,"means",6.33199
478,"mob",6.33199
479,"most",6.33199
480,"okay",6.33199
481,"online",6.33199
482,"oso",6.33199
483,"saw",6.33199
484,"tv",6.33199
485,"2nd",6.38329
486,"alright",6.38329
487,"driving",6.38329
488,"gift",6.38329
489,"girl",6.38329
490,"goes",6.38329
491,"made",6.38329
492,"messages",6.38329
493,"missed",6.38329
494,"old",6.38329
495,"pa",6.38329
496,"points",6.38329
497,"says",6.38329
498,"selected",6.38329
499,"wen",6.38329
500,"yours",6.38329
501,"ard",6.43735
502,"bring",6.43735
503,"de",6.43735
504,"dis",6.43735
505,"full",6.43735
506,"hav",6.43735
507,"http",6.43735
508,"mum",6.43735
509,"plus",6.43735
510,"rate",6.43735
511,"sae",6.43735
512,"sexy",6.43735
513,"started",6.43735
514,"stay",6.43735
515,"taking",6.43735
516,"top",6.43735
517,"tried",6.43735
518,"true",6.43735
519,"without",6.43735
520,"worry",6.43735
521,"yourself",6.43735
522,"10p",6.49451
523,"800",6.49451
524,"9",6.49451
525,"aft",6.49451
526,"attempt",6.49451
527,"believe",6.49451
528,"book",6.49451
529,"both",6.49451
530,"delivery",6.49451
531,"family",6.49451
532,"feeling",6.49451
533,"food",6.49451
534,"hair",6.49451
535,"noe",6.49451
536,"nt",6.49451
537,"run",6.49451
538,"saying",6.49451
539,"services",6.49451
540,"tmr",6.49451
541,"tones",6.49451
542,"wants",6.49451
543,"weekly",6.49451
544,"xmas",6.49451
545,"150",6.55514
546,"2000",6.55514
547,"alone",6.55514
548,"await",6.55514
549,"award",6.55514
550,"awesome",6.55514
551,"between",6.55514
552,"boytoy",6.55514
553,"busy",6.55514
554,"calling",6.55514
555,"carlos",6.55514
556,"change",6.55514
557,"charge",6.55514
558,"comes",6.55514
559,"decimal",6.55514
560,"doesn",6.55514
561,"email",6.55514
562,"face",6.55514
563,"finished",6.55514
564,"game",6.55514
565,"id",6.55514
566,"lets",6.55514
567,"lucky",6.55514
568,"minute",6.55514
569,"net",6.55514
570,"nite",6.55514
571,"order",6.55514
572,"pm",6.55514
573,"private",6.55514
574,"rite",6.55514
575,"school",6.55514
576,"sleeping",6.55514
577,"statement",6.55514
578,"thinking",6.55514
579,"together",6.55514
580,"tot",6.55514
581,"touch",6.55514
582,"valid",6.55514
583,"walk",6.55514
584,"years",6.55514
585,"5000",6.61968
586,"750",6.61968
587,"8",6.61968
588,"anytime",6.61968
589,"boy",6.61968
590,"cause",6.61968
591,"choose",6.61968
592,"club",6.61968
593,"college",6.61968
594,"double",6.61968
595,"drive",6.61968
596,"either",6.61968
597,"entry",6.61968
598,"expires",6.61968
599,"far",6.61968
600,"fast",6.61968
601,"gd",6.61968
602,"gr8",6.61968
603,"happen",6.61968
604,"head",6.61968
605,"hot",6.61968
606,"identifier",6.61968
607,"jay",6.61968
608,"mean",6.61968
609,"mine",6.61968
610,"missing",6.61968
611,"mom",6.61968
612,"movie",6.61968
613,"msgs",6.61968
614,"neva",6.61968
615,"pub",6.61968
616,"sch",6.61968
617,"second",6.61968
618,"sis",6.61968
619,"sounds",6.61968
620,"these",6.61968
621,"tho",6.61968
622,"todays",6.61968
623,"tomo",6.61968
624,"trip",6.61968
625,"update",6.61968
626,"wil",6.61968
627,"250",6.68867
628,"anyone",6.68867
629,"bonus",6.68867
630,"break",6.68867
631,"card",6.68867
632,"chikku",6.68867
633,"close",6.68867
634,"crazy",6.68867
635,"credit",6.68867
636,"darlin",6.68867
637,"dating",6.68867
638,"drink",6.68867
639,"drop",6.68867
640,"fancy",6.68867
641,"gone",6.68867
642,"goodmorning",6.68867
643,"hours",6.68867
644,"hurt",6.68867
645,"loving",6.68867
646,"makes",6.68867
647,"news",6.68867
648,"nyt",6.68867
649,"open",6.68867
650,"park",6.68867
651,"party",6.68867
652,"pics",6.68867
653,"pounds",6.68867
654,"pretty",6.68867
655,"read",6.68867
656,"ring",6.68867
657,"sad",6.68867
658,"set",6.68867
659,"shop",6.68867
660,"sister",6.68867
661,"smth",6.68867
662,"test",6.68867
663,"took",6.68867
664,"w",6.68867
665,"weeks",6.68867
666,"whatever",6.68867
667,"wonderful",6.68867
668,"08000930705",6.76278
669,"2003",6.76278
670,"beautiful",6.76278
671,"bored",6.76278
672,"brother",6.76278
673,"congrats",6.76278
674,"coz",6.76278
675,"date",6.76278
676,"finally",6.76278
677,"fr",6.76278
678,"freemsg",6.76278
679,"friendship",6.76278
680,"girls",6.76278
681,"hard",6.76278
682,"hit",6.76278
683,"hmm",6.76278
684,"kind",6.76278
685,"land",6.76278
686,"least",6.76278
687,"leaving",6.76278
688,"lesson",6.76278
689,"mate",6.76278
690,"meant",6.76278
691,"national",6.76278
692,"outside",6.76278
693,"pic",6.76278
694,"point",6.76278
695,"post",6.76278
696,"question",6.76278
697,"row",6.76278
698,"smoke",6.76278
699,"sun",6.76278
700,"talking",6.76278
701,"till",6.76278
702,"treat",6.76278
703,"ugh",6.76278
704,"un",6.76278
705,"unsubscribe",6.76278
706,"voucher",6.76278
707,"whats",6.76278
708,"whole",6.76278
709,"xx",6.76278
710,"yr",6.76278
711,"08000839402",6.84282
712,"11",6.84282
713,"8007",6.84282
714,"answer",6.84282
715,"available",6.84282
716,"b4",6.84282
717,"bout",6.84282
718,"colour",6.84282
719,"complimentary",6.84282
720,"content",6.84282
721,"darren",6.84282
722,"decided",6.84282
723,"direct",6.84282
724,"dreams",6.84282
725,"each",6.84282
726,"everyone",6.84282
727,"ex",6.84282
728,"friday",6.84282
729,"fucking",6.84282
730,"gotta",6.84282
731,"gym",6.84282
732,"happened",6.84282
733,"heard",6.84282
734,"hee",6.84282
735,"hmmm",6.84282
736,"hold",6.84282
737,"hungry",6.84282
738,"isn",6.84282
739,"listen",6.84282
740,"log",6.84282
741,"lovely",6.84282
742,"match",6.84282
743,"ni8",6.84282
744,"o",6.84282
745,"okie",6.84282
746,"opt",6.84282
747,"oredi",6.84282
748,"pain",6.84282
749,"pete",6.84282
750,"player",6.84282
751,"poly",6.84282
752,"reason",6.84282
753,"redeemed",6.84282
754,"sea",6.84282
755,"search",6.84282
756,"snow",6.84282
757,"their",6.84282
758,"tired",6.84282
759,"uncle",6.84282
760,"visit",6.84282
761,"wife",6.84282
762,"words",6.84282
763,"04",6.92983
764,"12hrs",6.92983
765,"2lands",6.92983
766,"2nite",6.92983
767,"30",6.92983
768,"86688",6.92983
769,"age",6.92983
770,"ago",6.92983
771,"almost",6.92983
772,"balance",6.92983
773,"bank",6.92983
774,"caller",6.92983
775,"camcorder",6.92983
776,"case",6.92983
777,"comin",6.92983
778,"company",6.92983
779,"computer",6.92983
780,"confirm",6.92983
781,"couple",6.92983
782,"cum",6.92983
783,"earlier",6.92983
784,"eh",6.92983
785,"em",6.92983
786,"eve",6.92983
787,"felt",6.92983
788,"final",6.92983
789,"frnd",6.92983
790,"frnds",6.92983
791,"hows",6.92983
792,"info",6.92983
793,"information",6.92983
794,"knw",6.92983
795,"lost",6.92983
796,"mah",6.92983
797,"march",6.92983
798,"mates",6.92983
799,"met",6.92983
800,"mobileupd8",6.92983
801,"mu",6.92983
802,"music",6.92983
803,"needs",6.92983
804,"nope",6.92983
805,"numbers",6.92983
806,"plz",6.92983
807,"pobox",6.92983
808,"prob",6.92983
809,"quiz",6.92983
810,"rental",6.92983
811,"rest",6.92983
812,"safe",6.92983
813,"secret",6.92983
814,"seen",6.92983
815,"suite342",6.92983
816,"vouchers",6.92983
817,"wana",6.92983
818,"water",6.92983
819,"welcome",6.92983
820,"whenever",6.92983
821,"wid",6.92983
822,"winner",6.92983
823,"wow",6.92983
824,"03",7.02514
825,"12",7.02514
826,"200",7.02514
827,"across",7.02514
828,"area",7.02514
829,"ass",7.02514
830,"charged",7.02514
831,"chennai",7.02514
832,"congratulations",7.02514
833,"correct",7.02514
834,"currently",7.02514
835,"different",7.02514
836,"download",7.02514
837,"dream",7.02514
838,"drugs",7.02514
839,"ends",7.02514
840,"enter",7.02514
841,"fact",7.02514
842,"fantastic",7.02514
843,"fone",7.02514
844,"forget",7.02514
845,"found",7.02514
846,"fri",7.02514
847,"frm",7.02514
848,"grins",7.02514
849,"india",7.02514
850,"kate",7.02514
851,"knows",7.02514
852,"laptop",7.02514
853,"light",7.02514
854,"lots",7.02514
855,"loved",7.02514
856,"luck",7.02514
857,"mayb",7.02514
858,"moment",7.02514
859,"monday",7.02514
860,"mr",7.02514
861,"nobody",7.02514
862,"offers",7.02514
863,"oops",7.02514
864,"orchard",7.02514
865,"p",7.02514
866,"parents",7.02514
867,"pass",7.02514
868,"pray",7.02514
869,"rent",7.02514
870,"save",7.02514
871,"seeing",7.02514
872,"sending",7.02514
873,"slow",7.02514
874,"smiling",7.02514
875,"somebody",7.02514
876,"sound",7.02514
877,"spend",7.02514
878,"staying",7.02514
879,"story",7.02514
880,"street",7.02514
881,"supposed",7.02514
882,"surprise",7.02514
883,"swing",7.02514
884,"tel",7.02514
885,"thinks",7.02514
886,"through",7.02514
887,"tickets",7.02514
888,"tonite",7.02514
889,"train",7.02514
890,"txts",7.02514
891,"type",7.02514
892,"understand",7.02514
893,"unlimited",7.02514
894,"used",7.02514
895,"usf",7.02514
896,"voice",7.02514
897,"wasn",7.02514
898,"wit",7.02514
899,"within",7.02514
900,"worried",7.02514
901,"worth",7.02514
902,"wrong",7.02514
903,"yar",7.02514
904,"20",7.1305
905,"900",7.1305
906,"ar",7.1305
907,"asap",7.1305
908,"asking",7.1305
909,"auction",7.1305
910,"awaiting",7.1305
911,"bathe",7.1305
912,"bcoz",7.1305
913,"bill",7.1305
914,"black",7.1305
915,"catch",7.1305
916,"christmas",7.1305
917,"course",7.1305
918,"crave",7.1305
919,"difficult",7.1305
920,"din",7.1305
921,"disturb",7.1305
922,"dogging",7.1305
923,"doin",7.1305
924,"exam",7.1305
925,"excellent",7.1305
926,"extra",7.1305
927,"facebook",7.1305
928,"film",7.1305
929,"forever",7.1305
930,"frens",7.1305
931,"games",7.1305
932,"gave",7.1305
933,"glad",7.1305
934,"ha",7.1305
935,"hiya",7.1305
936,"honey",7.1305
937,"hospital",7.1305
938,"idea",7.1305
939,"il",7.1305
940,"immediately",7.1305
941,"invited",7.1305
942,"itself",7.1305
943,"knew",7.1305
944,"laugh",7.1305
945,"lazy",7.1305
946,"lessons",7.1305
947,"library",7.1305
948,"loads",7.1305
949,"lose",7.1305
950,"ltd",7.1305
951,"men",7.1305
952,"mm",7.1305
953,"mo",7.1305
954,"mobiles",7.1305
955,"mon",7.1305
956,"motorola",7.1305
957,"muz",7.1305
958,"myself",7.1305
959,"noon",7.1305
960,"normal",7.1305
961,"own",7.1305
962,"paying",7.1305
963,"phones",7.1305
964,"picking",7.1305
965,"pizza",7.1305
966,"project",7.1305
967,"rates",7.1305
968,"reached",7.1305
969,"reading",7.1305
970,"remove",7.1305
971,"saturday",7.1305
972,"seems",7.1305
973,"shower",7.1305
974,"song",7.1305
975,"sort",7.1305
976,"spent",7.1305
977,"store",7.1305
978,"stupid",7.1305
979,"takes",7.1305
980,"tc",7.1305
981,"telling",7.1305
982,"ten",7.1305
983,"terms",7.1305
984,"thinkin",7.1305
985,"tht",7.1305
986,"trust",7.1305
987,"truth",7.1305
988,"txting",7.1305
989,"user",7.1305
990,"via",7.1305
991,"wednesday",7.1305
992,"weed",7.1305
993,"woke",7.1305
994,"wonder",7.1305
995,"wondering",7.1305
996,"write",7.1305
997,"yep",7.1305
998,"00",7.24828
999,"02",7.24828
1000,"06",7.24828
1001,"08718720201",7.24828
1002,"2004",7.24828
1003,"350",7.24828
1004,"50p",7.24828
1005,"ac",7.24828
1006,"access",7.24828
1007,"add",7.24828
1008,"age16",7.24828
1009,"alex",7.24828
1010,"anymore",7.24828
1011,"arrive",7.24828
1012,"ave",7.24828
1013,"bak",7.24828
1014,"bath",7.24828
1015,"battery",7.24828
1016,"booked",7.24828
1017,"bucks",7.24828
1018,"bugis",7.24828
1019,"call2optout",7.24828
1020,"cheap",7.24828
1021,"checking",7.24828
1022,"comp",7.24828
1023,"completely",7.24828
1024,"cup",7.24828
1025,"custcare",7.24828
1026,"cut",7.24828
1027,"cute",7.24828
1028,"dead",7.24828
1029,"deal",7.24828
1030,"decide",7.24828
1031,"deep",7.24828
1032,"die",7.24828
1033,"doctor",7.24828
1034,"ending",7.24828
1035,"entered",7.24828
1036,"etc",7.24828
1037,"except",7.24828
1038,"excuse",7.24828
1039,"eyes",7.24828
1040,"f",7.24828
1041,"figure",7.24828
1042,"gas",7.24828
1043,"gets",7.24828
1044,"goodnight",7.24828
1045,"happiness",7.24828
1046,"hg",7.24828
1047,"ipod",7.24828
1048,"ive",7.24828
1049,"joke",7.24828
1050,"la",7.24828
1051,"lect",7.24828
1052,"lmao",7.24828
1053,"longer",7.24828
1054,"mark",7.24828
1055,"meh",7.24828
1056,"midnight",7.24828
1057,"months",7.24828
1058,"mrt",7.24828
1059,"nah",7.24828
1060,"naughty",7.24828
1061,"nigeria",7.24828
1062,"notice",7.24828
1063,"omg",7.24828
1064,"ones",7.24828
1065,"otherwise",7.24828
1066,"past",7.24828
1067,"polys",7.24828
1068,"present",7.24828
1069,"press",7.24828
1070,"questions",7.24828
1071,"quick",7.24828
1072,"rain",7.24828
1073,"rakhesh",7.24828
1074,"reaching",7.24828
1075,"reference",7.24828
1076,"replying",7.24828
1077,"sell",7.24828
1078,"sex",7.24828
1079,"side",7.24828
1080,"slave",7.24828
1081,"sofa",7.24828
1082,"st",7.24828
1083,"strong",7.24828
1084,"study",7.24828
1085,"studying",7.24828
1086,"sub",7.24828
1087,"sucks",7.24828
1088,"sunday",7.24828
1089,"support",7.24828
1090,"swt",7.24828
1091,"ta",7.24828
1092,"tenerife",7.24828
1093,"th",7.24828
1094,"thru",7.24828
1095,"ts",7.24828
1096,"unless",7.24828
1097,"urself",7.24828
1098,"valued",7.24828
1099,"w1j6hl",7.24828
1100,"warm",7.24828
1101,"weight",7.24828
1102,"xy",7.24828
1103,"0800",7.38182
1104,"11mths",7.38182
1105,"25",7.38182
1106,"2day",7.38182
1107,"4u",7.38182
1108,"abiola",7.38182
1109,"admirer",7.38182
1110,"aha",7.38182
1111,"al",7.38182
1112,"ans",7.38182
1113,"app",7.38182
1114,"appreciate",7.38182
1115,"april",7.38182
1116,"awake",7.38182
1117,"bag",7.38182
1118,"bb",7.38182
1119,"biz",7.38182
1120,"brand",7.38182
1121,"bslvyl",7.38182
1122,"cafe",7.38182
1123,"cancer",7.38182
1124,"changed",7.38182
1125,"cheers",7.38182
1126,"coffee",7.38182
1127,"cold",7.38182
1128,"complete",7.38182
1129,"couldn",7.38182
1130,"cover",7.38182
1131,"credits",7.38182
1132,"del",7.38182
1133,"depends",7.38182
1134,"discount",7.38182
1135,"doesnt",7.38182
1136,"door",7.38182
1137,"dvd",7.38182
1138,"eatin",7.38182
1139,"eg",7.38182
1140,"energy",7.38182
1141,"er",7.38182
1142,"especially",7.38182
1143,"feb",7.38182
1144,"gay",7.38182
1145,"ge",7.38182
1146,"gee",7.38182
1147,"gettin",7.38182
1148,"getzed",7.38182
1149,"giving",7.38182
1150,"hoping",7.38182
1151,"hurry",7.38182
1152,"hurts",7.38182
1153,"hw",7.38182
1154,"imagine",7.38182
1155,"j",7.38182
1156,"john",7.38182
1157,"joined",7.38182
1158,"kinda",7.38182
1159,"ladies",7.38182
1160,"ldn",7.38182
1161,"less",7.38182
1162,"liked",7.38182
1163,"link",7.38182
1164,"loves",7.38182
1165,"married",7.38182
1166,"member",7.38182
1167,"mid",7.38182
1168,"mistake",7.38182
1169,"mode",7.38182
1170,"movies",7.38182
1171,"mrng",7.38182
1172,"na",7.38182
1173,"o2",7.38182
1174,"onto",7.38182
1175,"operator",7.38182
1176,"others",7.38182
1177,"partner",7.38182
1178,"pc",7.38182
1179,"picked",7.38182
1180,"pilates",7.38182
1181,"pix",7.38182
1182,"plans",7.38182
1183,"pound",7.38182
1184,"promise",7.38182
1185,"putting",7.38182
1186,"quality",7.38182
1187,"random",7.38182
1188,"rcvd",7.38182
1189,"red",7.38182
1190,"registered",7.38182
1191,"reveal",7.38182
1192,"reward",7.38182
1193,"road",7.38182
1194,"rock",7.38182
1195,"round",7.38182
1196,"rs",7.38182
1197,"self",7.38182
1198,"sense",7.38182
1199,"shd",7.38182
1200,"short",7.38182
1201,"sick",7.38182
1202,"sign",7.38182
1203,"sitting",7.38182
1204,"slowly",7.38182
1205,"small",7.38182
1206,"sometimes",7.38182
1207,"somewhere",7.38182
1208,"sony",7.38182
1209,"sp",7.38182
1210,"space",7.38182
1211,"specially",7.38182
1212,"stand",7.38182
1213,"standard",7.38182
1214,"starts",7.38182
1215,"station",7.38182
1216,"sunshine",7.38182
1217,"sup",7.38182
1218,"surely",7.38182
1219,"tampa",7.38182
1220,"tat",7.38182
1221,"tea",7.38182
1222,"thts",7.38182
1223,"track",7.38182
1224,"trouble",7.38182
1225,"turns",7.38182
1226,"umma",7.38182
1227,"urawinner",7.38182
1228,"usual",7.38182
1229,"valentines",7.38182
1230,"vl",7.38182
1231,"wiv",7.38182
1232,"workin",7.38182
1233,"worries",7.38182
1234,"wun",7.38182
1235,"yahoo",7.38182
1236,"yijue",7.38182
1237,"08712300220",7.53597
1238,"08712460324",7.53597
1239,"10am",7.53597
1240,"25p",7.53597
1241,"3g",7.53597
1242,"40gb",7.53597
1243,"7pm",7.53597
1244,"80062",7.53597
1245,"82277",7.53597
1246,"86021",7.53597
1247,"87066",7.53597
1248,"8th",7.53597
1249,"acc",7.53597
1250,"activate",7.53597
1251,"added",7.53597
1252,"advance",7.53597
1253,"advice",7.53597
1254,"against",7.53597
1255,"ahead",7.53597
1256,"ahmad",7.53597
1257,"air",7.53597
1258,"airport",7.53597
1259,"aiyo",7.53597
1260,"allah",7.53597
