feature_i,feature_j,pearson
10,21,0.270438
10,22,0.801301
10,23,0.807599
10,24,0.169991
10,25,0.360007
10,26,0.437242
10,27,0.62525
10,28,0.164065
10,29,0.0935288
11,0,-0.0351309
11,1,0.357648
11,2,-0.0257001
11,3,-0.00293613
11,4,0.0331492
11,5,0.0533582
11,6,0.0883847
11,7,0.0493912
11,8,0.177715
11,9,0.110831
11,10,0.242982
11,11,1
11,12,0.267861
11,13,0.168802
11,14,0.331603
11,15,0.249269
11,16,0.189558
11,17,0.252155
11,18,0.431969
11,19,0.26231
11,20,-0.0584534
11,21,0.365535
11,22,-0.0486581
11,23,-0.0302544
11,24,-0.1266
11,25,-0.0883117
11,26,-0.0576044
11,27,-0.0963967
11,28,-0.0638801
11,29,-0.0839174
12,0,0.71984
12,1,0.321247
12,2,0.741295
12,3,0.744206
12,4,0.292471
12,5,0.624764
12,6,0.691674
12,7,0.769774
12,8,0.353326
12,9,0.0558525
12,10,0.965248
12,11,0.267861
12,12,1
12,13,0.929021
12,14,0.107987
12,15,0.476942
12,16,0.398203
12,17,0.616253
12,18,0.264932
12,19,0.330175
12,20,0.760515
12,21,0.269524
12,22,0.790509
12,23,0.769282
12,24,0.147957
12,25,0.413207
12,26,0.476557
12,27,0.643928
12,28,0.179495
12,29,0.136255
13,0,0.814089
13,1,0.316232
13,2,0.823016
13,3,0.846578
13,4,0.267099
13,5,0.539344
13,6,0.663995
13,7,0.780796
13,8,0.27025
13,9,-0.0852964
13,10,0.966002
13,11,0.168802
13,12,0.929021
13,13,1
13,14,0.0497693
13,15,0.333867
13,16,0.296417
13,17,0.470986
13,18,0.117888
13,19,0.192966
13,20,0.864647
13,21,0.296842
13,22,0.868782
13,23,0.893737
13,24,0.170519
13,25,0.356877
13,26,0.4497
13,27,0.654044
13,28,0.148848
13,29,0.0706562
14,0,-0.182177
14,1,0.0264877
14,2,-0.162721
14,3,-0.140141
14,4,0.277886
14,5,0.133262
14,6,0.122355
14,7,0.0381292
14,8,0.138303
14,9,0.322726
14,10,0.115786
14,11,0.331603
14,12,0.107987
14,13,0.0497693
14,14,1
14,15,0.400547
14,16,0.349844
14,17,0.382078
14,18,0.333756
14,19,0.439352
14,20,-0.204005
14,21,-0.0876094
14,22,-0.188655
14,23,-0.166885
14,24,0.27603
14,25,-0.0322694
14,26,-0.0202155
14,27,-0.0777376
14,28,-0.113249
14,29,0.060831
15,0,0.22352
15,1,0.227796
15,2,0.269797
15,3,0.22794
15,4,0.306561
15,5,0.737525
15,6,0.686818
15,7,0.499029
15,8,0.405499
15,9,0.550945
15,10,0.396348
15,11,0.249269
15,12,0.476942
15,13,0.333867
15,14,0.400547
15,15,1
15,16,0.845928
15,17,0.744518
15,18,0.39578
15,19,0.836203
15,20,0.21046
15,21,0.139116
15,22,0.26767
15,23,0.19396
15,24,0.220068
15,25,0.680032
15,26,0.654136
15,27,0.480982
15,28,0.274279
15,29,0.575237
16,0,0.215544
16,1,0.177808
16,2,0.252934
16,3,0.225769
16,4,0.257495
16,5,0.601597
16,6,0.703952
16,7,0.460735
16,8,0.315768
16,9,0.44211
16,10,0.335898
16,11,0.189558
16,12,0.398203
16,13,0.296417
16,14,0.349844
16,15,0.845928
16,16,1
16,17,0.750126
16,18,0.316574
16,19,0.723174
16,20,0.196321
16,21,0.106939
16,22,0.241011
16,23,0.189001
16,24,0.181351
16,25,0.516016
16,26,0.698271
16,27,0.458363
16,28,0.208061
16,29,0.436669
17,0,0.410655
17,1,0.182465
17,2,0.44095
17,3,0.4028
17,4,0.334438
17,5,0.621725
17,6,0.654212
17,7,0.610984
17,8,0.360795
17,9,0.291475
17,10,0.537632
17,11,0.252155
17,12,0.616253
17,13,0.470986
17,14,0.382078
17,15,0.744518
17,16,0.750126
17,17,1
17,18,0.318765
17,19,0.627357
17,20,0.37277
17,21,0.084386
17,22,0.412118
17,23,0.345404
17,24,0.173549
17,25,0.432572
17,26,0.527202
17,27,0.599048
17,28,0.138717
17,29,0.268522
18,0,-0.0621774
18,1,0.0421191
18,2,-0.0348658
18,3,-0.0447856
18,4,0.219975
18,5,0.29707
18,6,0.219276
18,7,0.143439
18,8,0.497658
18,9,0.34656
18,10,0.221671
18,11,0.431969
18,12,0.264932
18,13,0.117888
18,14,0.333756
18,15,0.39578
18,16,0.316574
18,17,0.318765
18,18,1
18,19,0.339031
18,20,-0.0976501
18,21,-0.0557037
18,22,-0.0672966
18,23,-0.0940545
18,24,-0.00818135
18,25,0.10679
18,26,0.0791098
18,27,0.0213593
18,28,0.477415
18,29,0.0725315
19,0,0.0388255
19,1,0.1125
19,2,0.0814409
19,3,0.0517095
19,4,0.299612
19,5,0.585769
19,6,0.516765
19,7,0.330984
19,8,0.339538
19,9,0.686683
19,10,0.266219
19,11,0.26231
19,12,0.330175
19,13,0.192966
19,14,0.439352
19,15,0.836203
19,16,0.723174
19,17,0.627357
19,18,0.339031
19,19,1
19,20,0.0277054
19,21,0.0180015
19,22,0.073289
19,23,0.026837
19,24,0.190739
19,25,0.485251
19,26,0.464811
19,27,0.286457
19,28,0.148933
19,29,0.650468
20,0,0.967109
20,1,0.347918
20,2,0.966779
20,3,0.965394
20,4,0.225414
20,5,0.537939
20,6,0.678044
20,7,0.83236
20,8,0.177315
20,9,-0.228813
20,10,0.792928
20,11,-0.0584534
20,12,0.760515
20,13,0.864647
20,14,-0.204005
20,15,0.21046
20,16,0.196321
20,17,0.37277
20,18,-0.0976501
20,19,0.0277054
20,20,1
20,21,0.384373
20,22,0.993863
20,23,0.985568
20,24,0.220976
20,25,0.465415
20,26,0.557154
20,27,0.789865
20,28,0.233412
20,29,0.112003
21,0,0.315009
21,1,0.905373
21,2,0.317456
21,3,0.324208
21,4,0.0053779
21,5,0.207238
21,6,0.279765
21,7,0.280511
21,8,0.0582802
21,9,-0.0833442
21,10,0.270438
21,11,0.365535
21,12,0.269524
21,13,0.296842
21,14,-0.0876094
21,15,0.139116
21,16,0.106939
21,17,0.084386
21,18,-0.0557037
21,19,0.0180015
21,20,0.384373
21,21,1
21,22,0.384083
21,23,0.3888
21,24,0.187051
21,25,0.32687
21,26,0.341505
21,27,0.337132
21,28,0.224949
21,29,0.182937
22,0,0.963851
22,1,0.353823
22,2,0.968922
22,3,0.961747
22,4,0.249289
22,5,0.593873
22,6,0.720471
22,7,0.858366
22,8,0.213071
22,9,-0.179478
22,10,0.801301
22,11,-0.0486581
22,12,0.790509
22,13,0.868782
22,14,-0.188655
22,15,0.26767
22,16,0.241011
22,17,0.412118
22,18,-0.0672966
22,19,0.073289
22,20,0.993863
22,21,0.384083
22,22,1
22,23,0.977422
22,24,0.237591
22,25,0.514566
22,26,0.599626
22,27,0.8172
22,28,0.256901
22,29,0.153177
23,0,0.93605
23,1,0.353514
23,2,0.93502
23,3,0.954251
23,4,0.207582
23,5,0.50424
23,6,0.654279
23,7,0.80448
23,8,0.162239
23,9,-0.217732
23,10,0.807599
23,11,-0.0302544
23,12,0.769282
23,13,0.893737
23,14,-0.166885
23,15,0.19396
23,16,0.189001
23,17,0.345404
23,18,-0.0940545
23,19,0.026837
23,20,0.985568
23,21,0.3888
23,22,0.977422
23,23,1
23,24,0.21436
23,25,0.425865
23,26,0.525783
23,27,0.750407
23,28,0.202352
23,29,0.0965469
24,0,0.123503
24,1,0.038519
24,2,0.15435
24,3,0.12915
24,4,0.799911
24,5,0.553197
24,6,0.45601
24,7,0.446925
24,8,0.382049
24,9,0.508313
24,10,0.169991
24,11,-0.1266
24,12,0.147957
24,13,0.170519
24,14,0.27603
24,15,0.220068
24,16,0.181351
24,17,0.173549
24,18,-0.00818135
24,19,0.190739
24,20,0.220976
24,21,0.187051
24,22,0.237591
24,23,0.21436
24,24,1
24,25,0.584118
24,26,0.540545
24,27,0.550377
24,28,0.490237
24,29,0.613666
25,0,0.403824
25,1,0.255104
25,2,0.447587
25,3,0.386952
25,4,0.492539
25,5,0.863887
25,6,0.769582
25,7,0.670662
25,8,0.453273
25,9,0.5084
25,10,0.360007
25,11,-0.0883117
25,12,0.413207
25,13,0.356877
25,14,-0.0322694
25,15,0.680032
25,16,0.516016
25,17,0.432572
25,18,0.10679
25,19,0.485251
25,20,0.465415
25,21,0.32687
25,22,0.514566
25,23,0.425865
25,24,0.584118
25,25,1
25,26,0.893488
25,27,0.786969
25,28,0.604708
25,29,0.821798
26,0,0.508861
26,1,0.271522
26,2,0.547771
26,3,0.500275
26,4,0.454578
26,5,0.819637
26,6,0.893516
26,7,0.754563
26,8,0.416492
26,9,0.394656
26,10,0.437242
26,11,-0.0576044
26,12,0.476557
26,13,0.4497
26,14,-0.0202155
26,15,0.654136
26,16,0.698271
26,17,0.527202
26,18,0.0791098
26,19,0.464811
26,20,0.557154
26,21,0.341505
26,22,0.599626
26,23,0.525783
26,24,0.540545
26,25,0.893488
26,26,1
26,27,0.847177
26,28,0.532517
26,29,0.699675
27,0,0.747318
27,1,0.261387
27,2,0.774188
27,3,0.732736
27,4,0.511154
27,5,0.807419
27,6,0.861106
27,7,0.912348
27,8,0.416235
27,9,0.200757
27,10,0.62525
27,11,-0.0963967
27,12,0.643928
27,13,0.654044
27,14,-0.0777376
27,15,0.480982
27,16,0.458363
27,17,0.599048
27,18,0.0213593
27,19,0.286457
27,20,0.789865
27,21,0.337132
27,22,0.8172
27,23,0.750407
27,24,0.550377
27,25,0.786969
27,26,0.847177
27,27,1
27,28,0.503114
27,29,0.510877
28,0,0.167152
28,1,0.0975552
28,2,0.19477
28,3,0.155107
28,4,0.429526
28,5,0.528285
28,6,0.438458
28,7,0.402388
28,8,0.706649
28,9,0.372014
28,10,0.164065
28,11,-0.0638801
28,12,0.179495
28,13,0.148848
28,14,-0.113249
28,15,0.274279
28,16,0.208061
28,17,0.138717
28,18,0.477415
28,19,0.148933
28,20,0.233412
28,21,0.224949
28,22,0.256901
28,23,0.202352
28,24,0.490237
28,25,0.604708
28,26,0.532517
28,27,0.503114
28,28,1
28,29,0.520861
29,0,0.0306321
29,1,0.098254
29,2,0.0752407
29,3,0.0292317
29,4,0.503358
29,5,0.680586
29,6,0.533161
29,7,0.384019
29,8,0.392133
29,9,0.776021
29,10,0.0935288
29,11,-0.0839174
29,12,0.136255
29,13,0.0706562
29,14,0.060831
29,15,0.575237
29,16,0.436669
29,17,0.268522
29,18,0.0725315
29,19,0.650468
29,20,0.112003
29,21,0.182937
29,22,0.153177
29,23,0.0965469
29,24,0.613666
29,25,0.821798
29,26,0.699675
29,27,0.510877
29,28,0.520861
29,29,1
