month_index,lag_1,lag_2,lag_12,month_index,season_sin,season_cos,target
106,347,404,271,106,-0.86602540378443915,0.49999999999999917,305
107,305,347,306,107,-0.50000000000000444,0.86602540378443604,336
108,336,305,315,108,-2.2043642384652358e-15,1,340
109,340,336,301,109,0.4999999999999945,0.86602540378444182,318
110,318,340,356,110,0.86602540378444048,0.49999999999999684,362
111,362,318,348,111,1,4.8923973902235293e-16,348
112,348,362,355,112,0.86602540378444093,-0.49999999999999595,363
113,363,348,422,113,0.50000000000000144,-0.86602540378443782,435
114,435,363,465,114,5.8795425971804719e-15,-1,491
115,491,435,467,115,-0.50000000000000355,-0.8660254037844366,505
116,505,491,404,116,-0.8660254037844386,-0.5,404
117,404,505,347,117,-1,-4.164418097737589e-15,359
118,359,404,305,118,-0.86602540378443926,0.49999999999999895,310
119,310,359,336,119,-0.50000000000000466,0.86602540378443593,337
120,337,310,340,120,-9.554720955895708e-15,1,360
121,360,337,318,121,0.50000000000000044,0.86602540378443837,342
122,342,360,362,122,0.86602540378443682,0.50000000000000322,406
123,406,342,348,123,1,7.8395964564528251e-15,396
124,396,406,363,124,0.86602540378444104,-0.49999999999999573,420
125,420,396,435,125,0.50000000000000167,-0.86602540378443771,472
126,472,420,491,126,-9.8095540059105927e-16,-1,548
127,548,472,505,127,-0.50000000000000344,-0.86602540378443671,559
128,559,548,404,128,-0.86602540378443493,-0.50000000000000633,463
129,463,559,359,129,-1,-4.4093474575670601e-15,407
130,407,463,310,130,-0.86602540378443937,0.49999999999999872,362
131,362,407,337,131,-0.49999999999999872,0.86602540378443937,405
132,405,362,360,132,4.4112043994768247e-15,1,417
133,417,405,342,133,0.49999999999999406,0.86602540378444204,391
134,391,417,406,134,0.86602540378443671,0.50000000000000344,419
135,419,391,396,135,1,9.7909845868129412e-16,461
136,461,419,420,136,0.86602540378443771,-0.50000000000000167,472
137,472,461,472,137,0.49999999999999573,-0.86602540378444104,535
138,535,472,548,138,6.3694013168394133e-15,-1,622
139,622,535,559,139,-0.499999999999997,-0.86602540378444037,606
140,606,622,463,140,-0.86602540378443837,-0.50000000000000044,508
141,508,606,407,141,-1,-1.1759704174997533e-14,461
142,461,508,362,142,-0.86602540378443593,0.50000000000000466,390
143,390,461,405,143,-0.50000000000000511,0.86602540378443571,432
