user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
278,18,2,0.111111,0.136985
279,37,0,0,0
280,129,3,0.0232558,0.249363
285,24,1,0.0416667,0.0733639
286,17,0,0,0
294,21,2,0.0952381,0.148764
299,43,0,0,0
312,179,6,0.0335196,0.662016
313,141,6,0.0425532,0.498251
317,13,1,0.0769231,0.0733639
319,3,1,0.333333,0.148041
325,70,4,0.0571429,0.459533
328,3,1,0.333333,0.234639
329,32,5,0.15625,0.4427
332,5,0,0,0
333,19,1,0.0526316,0.0947884
334,189,8,0.042328,0.811556
335,13,0,0,0
339,187,5,0.026738,0.40414
341,13,0,0,0
344,24,2,0.0833333,0.286346
353,14,1,0.0714286,0.0733639
354,141,3,0.0212766,0.224663
356,14,1,0.0714286,0.0733639
358,27,2,0.0740741,0.163541
363,126,7,0.0555556,0.710023
365,32,0,0,0
368,19,2,0.105263,0.139618
369,15,2,0.133333,0.144652
377,21,1,0.047619,0.0733639
378,15,2,0.133333,0.168152
379,10,0,0,0
381,84,3,0.0357143,0.246186
383,62,2,0.0322581,0.158409
384,20,1,0.05,0.0733639
392,86,4,0.0465116,0.356879
393,90,3,0.0333333,0.25881
397,8,0,0,0
401,67,3,0.0447761,0.243552
407,8,1,0.125,0.0978516
408,16,1,0.0625,0.0733639
411,37,3,0.0810811,0.215018
416,197,6,0.0304569,0.669126
418,7,0,0,0
420,26,2,0.0769231,0.283713
421,43,3,0.0697674,0.199306
423,36,1,0.0277778,0.0733639
425,20,1,0.05,0.0783983
428,2,0,0,0
432,39,2,0.0512821,0.139618
440,39,1,0.025641,0.0733639
441,11,1,0.0909091,0.0733639
444,16,2,0.125,0.139618
445,16,0,0,0
448,22,0,0,0
450,7,1,0.142857,0.106337
455,1,0,0,0
458,7,0,0,0
463,11,2,0.181818,0.136985
466,50,2,0.04,0.139618
471,16,0,0,0
472,53,3,0.0566038,0.214084
475,13,1,0.0769231,0.0662542
478,58,3,0.0517241,0.26462
479,1,0,0,0
480,44,5,0.113636,0.416567
483,1,0,0,0
484,83,4,0.0481928,0.434175
485,8,1,0.125,0.0843142
488,80,3,0.0375,0.261443
489,66,1,0.0151515,0.0733639
491,22,2,0.0909091,0.289523
499,2,0,0,0
500,1,0,0,0
503,2,0,0,0
504,2,0,0,0
505,47,1,0.0212766,0.0733639
506,2,0,0,0
507,54,2,0.037037,0.139618
511,17,1,0.0588235,0.0733639
514,1,1,1,1
516,16,2,0.125,0.205117
517,17,0,0,0
530,4,0,0,0
532,99,4,0.040404,0.431542
533,6,0,0,0
547,15,1,0.0666667,0.0733639
548,102,4,0.0392157,0.27267
551,232,5,0.0215517,0.401605
559,43,1,0.0232558,0.0851431
565,33,0,0,0
574,26,0,0,0
577,2,1,0.5,0.386853
585,48,0,0,0
587,33,1,0.030303,0.0733639
588,140,5,0.0357143,0.388981
591,49,2,0.0408163,0.173667
603,33,3,0.0909091,0.209049
611,27,0,0,0
613,23,5,0.217391,0.394495
616,25,1,0.04,0.0733639
618,91,6,0.0659341,0.499027
620,71,2,0.028169,0.139618
621,3,0,0,0
623,29,3,0.103448,0.224663
624,10,0,0,0
625,47,5,0.106383,0.583618
634,3,1,0.333333,0.135652
636,16,1,0.0625,0.0733639
639,51,1,0.0196078,0.0947884
640,1,0,0,0
642,5,0,0,0
643,129,7,0.0542636,0.731447
645,89,3,0.0337079,0.246186
649,16,1,0.0625,0.0662542
650,96,4,0.0416667,0.298027
653,4,2,0.5,0.325317
654,1,0,0,0
655,11,1,0.0909091,0.0662542
656,4,0,0,0
659,127,4,0.0314961,0.341819
660,47,4,0.0851064,0.298027
661,1,1,1,0.333333
663,83,6,0.0722892,0.467859
667,31,1,0.0322581,0.0851431
668,4,1,0.25,0.112845
669,47,7,0.148936,0.681206
675,23,1,0.0434783,0.0851431
676,53,7,0.132075,0.646856
677,25,0,0,0
683,28,0,0,0
699,3,0,0,0
701,27,2,0.0740741,0.139618
704,53,3,0.0566038,0.215018
707,3,0,0,0
708,27,1,0.037037,0.0947884
711,4,0,0,0
714,20,1,0.05,0.0662542
720,23,0,0,0
722,25,0,0,0
726,8,0,0,0
729,8,0,0,0
734,44,5,0.113636,0.38317
738,28,5,0.178571,0.608317
741,51,2,0.0392157,0.139618
751,25,0,0,0
752,34,0,0,0
753,36,4,0.111111,0.344452
758,1,0,0,0
766,67,2,0.0298507,0.151397
767,36,1,0.0277778,0.0947884
775,18,1,0.0555556,0.0733639
776,54,4,0.0740741,0.309806
778,24,0,0,0
780,37,3,0.0810811,0.224761
782,49,1,0.0204082,0.0733639
784,27,1,0.037037,0.0733639
794,35,1,0.0285714,0.0662542
796,194,7,0.0360825,0.562648
801,19,1,0.0526316,0.0733639
807,148,4,0.027027,0.31955
809,10,1,0.1,0.0733639
810,11,0,0,0
816,20,1,0.05,0.0733639
818,13,1,0.0769231,0.0733639
822,10,2,0.2,0.358954
825,1,0,0,0
828,39,0,0,0
829,15,2,0.133333,0.286346
830,67,2,0.0298507,0.139618
831,40,5,0.125,0.382716
834,39,2,0.0512821,0.139618
835,80,3,0.0375,0.224761
838,1,0,0,0
840,152,5,0.0328947,0.473572
842,18,1,0.0555556,0.0733639
851,21,3,0.142857,0.243098
852,24,2,0.0833333,0.286346
856,13,1,0.0769231,0.0733639
863,48,1,0.0208333,0.0733639
864,3,0,0,0
866,6,0,0,0
870,16,2,0.125,0.205117
873,7,1,0.142857,0.0916254
880,26,1,0.0384615,0.0733639
883,174,6,0.0344828,0.614587
891,19,2,0.105263,0.142795
894,2,0,0,0
903,95,4,0.0421053,0.330874
909,21,0,0,0
911,65,1,0.0153846,0.0636208
913,1,0,0,0
915,9,1,0.111111,0.0783485
918,53,1,0.0188679,0.110046
922,57,1,0.0175439,0.0662542
924,3,0,0,0
931,39,1,0.025641,0.0733639
932,184,4,0.0217391,0.37567
934,120,1,0.00833333,0.0662542
938,47,2,0.0425532,0.139618
940,2,0,0,0
942,66,2,0.030303,0.151397
