user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
639,51,2,0.0392157,0.133052
640,1,0,0,0
642,5,0,0,0
643,129,6,0.0465116,0.611775
645,89,4,0.0449438,0.492006
649,16,3,0.1875,0.432318
650,96,4,0.0416667,0.532621
653,4,0,0,0
654,1,0,0,0
655,11,0,0,0
656,4,0,0,0
659,127,4,0.0314961,0.309806
660,47,3,0.0638298,0.422575
661,1,0,0,0
663,83,7,0.0843373,0.750637
667,31,0,0,0
668,4,0,0,0
669,47,3,0.0638298,0.432318
675,23,1,0.0434783,0.0694312
676,53,7,0.132075,0.770204
677,25,1,0.04,0.0851431
683,28,0,0,0
699,3,0,0,0
701,27,4,0.148148,0.472933
704,53,3,0.0566038,0.399569
707,3,0,0,0
708,27,3,0.111111,0.239921
711,4,0,0,0
714,20,5,0.25,0.60514
720,23,2,0.0869565,0.154574
722,25,3,0.12,0.245731
726,8,2,0.25,0.193251
729,8,0,0,0
734,44,4,0.0909091,0.428365
738,28,5,0.178571,0.523153
741,51,4,0.0784314,0.500973
751,25,0,0,0
752,34,1,0.0294118,0.0783983
753,36,3,0.0833333,0.378501
758,1,0,0,0
766,67,2,0.0298507,0.358954
767,36,2,0.0555556,0.18341
775,18,2,0.111111,0.154574
776,54,3,0.0555556,0.422575
778,24,1,0.0416667,0.0636208
780,37,3,0.0810811,0.353144
782,49,2,0.0408163,0.163541
784,27,1,0.037037,0.0851431
794,35,4,0.114286,0.542364
796,194,5,0.0257732,0.573972
801,19,2,0.105263,0.173187
807,148,5,0.0337838,0.562193
809,10,1,0.1,0.0694312
810,11,1,0.0909091,0.0783983
816,20,2,0.1,0.173187
818,13,3,0.230769,0.232973
822,10,1,0.1,0.0733639
825,1,1,1,0.63093
828,39,1,0.025641,0.0694312
829,15,2,0.133333,0.179931
830,67,5,0.0746269,0.605985
831,40,6,0.15,0.700773
834,39,6,0.153846,0.701973
835,80,2,0.025,0.283713
838,1,0,0,0
840,152,3,0.0197368,0.393758
842,18,0,0,0
851,21,2,0.0952381,0.293456
852,24,5,0.208333,0.608618
856,13,3,0.230769,0.249363
863,48,4,0.0833333,0.327761
864,3,2,0.666667,0.703918
866,6,0,0,0
870,16,2,0.125,0.330138
873,7,1,0.142857,0.118383
880,26,1,0.0384615,0.0947884
883,174,3,0.0172414,0.393758
891,19,3,0.157895,0.399569
894,2,0,0,0
903,95,4,0.0421053,0.547398
909,21,1,0.047619,0.0694312
911,65,1,0.0153846,0.0636208
913,1,1,1,0.63093
915,9,1,0.111111,0.0741486
918,53,0,0,0
922,57,6,0.105263,0.67587
924,3,1,0.333333,0.296082
931,39,3,0.0769231,0.31834
932,184,3,0.0163043,0.247031
934,120,5,0.0416667,0.602052
938,47,7,0.148936,0.77216
940,2,0,0,0
942,66,3,0.0454545,0.368856
