x,true,mean,std,lower,upper
-1.75,-0.9839859469,-1.013745366,0.1011573652,-1.216060097,-0.8114306357
-1.7,-0.9916648105,-1.012250839,0.1011857012,-1.214622241,-0.8098794361
-1.65,-0.9968650285,-1.00742889,0.1012279361,-1.209884762,-0.8049730179
-1.6,-0.999573603,-0.999390015,0.1012662056,-1.201922426,-0.7968576037
-1.55,-0.9997837642,-0.9882611406,0.1012875525,-1.190836246,-0.7856860355
-1.5,-0.9974949866,-0.9741827695,0.1012842816,-1.176751333,-0.7716142063
-1.45,-0.992712991,-0.9573060387,0.1012536955,-1.15981343,-0.7547986477
-1.4,-0.98544973,-0.9377897567,0.1011973617,-1.14018448,-0.7353950333
-1.35,-0.9757233578,-0.9157974854,0.101120077,-1.118037639,-0.7135573313
-1.3,-0.9635581854,-0.8914947301,0.1010286896,-1.093552109,-0.689437351
-1.25,-0.9489846194,-0.8650462957,0.1009309228,-1.066908141,-0.6631844501
-1.2,-0.932039086,-0.8366138642,0.1008343213,-1.038282507,-0.6349452216
-1.15,-0.9127639403,-0.8063538421,0.1007454065,-1.007844655,-0.604863029
-1.1,-0.8912073601,-0.7744155165,0.1006690956,-0.9757537076,-0.5730773253
-1.05,-0.8674232256,-0.740939553,0.1006084018,-0.9421563565,-0.5397227494
-1,-0.8414709848,-0.7060568563,0.1005644012,-0.9071856587,-0.5049280539
-0.95,-0.8134155048,-0.669887806,0.1005364235,-0.8709606529,-0.468814959
-0.9,-0.7833269096,-0.632541868,0.1005224061,-0.8335866802,-0.4314970559
-0.85,-0.7512804051,-0.594117575,0.1005193432,-0.7951562615,-0.3930788886
-0.8,-0.7173560909,-0.554702855,0.1005237613,-0.7557503776,-0.3536553324
-0.75,-0.68163876,-0.5143756823,0.1005321617,-0.7154400057,-0.3133113588
-0.7,-0.6442176872,-0.4732050133,0.1005413874,-0.6742877881,-0.2721222386
-0.65,-0.6051864057,-0.4312519669,0.1005488853,-0.6323497375,-0.2301541963
-0.6,-0.5646424734,-0.3885711975,0.1005528561,-0.5896769097,-0.1874654853
-0.55,-0.5226872289,-0.3452124126,0.1005522955,-0.5463170037,-0.1441078216
-0.5,-0.4794255386,-0.3012219774,0.1005469451,-0.5023158675,-0.1001280873
-0.45,-0.4349655341,-0.256644553,0.1005371754,-0.4577189037,-0.05557020222
-0.4,-0.3894183423,-0.2115247149,0.1005238302,-0.4125723753,-0.01047705449
-0.35,-0.3428978075,-0.1659085009,0.1005080563,-0.3669246134,0.03510761162
-0.3,-0.2955202067,-0.1198448418,0.1004911413,-0.3208271244,0.08113744073
-0.25,-0.2474039593,-0.07338683653,0.1004743763,-0.2743355891,0.1275619161
-0.2,-0.1986693308,-0.02659283616,0.1004589503,-0.2275107368,0.1743250645
-0.15,-0.1494381325,0.02047268616,0.1004458799,-0.1804190737,0.2213644461
-0.1,-0.09983341665,0.06773849805,0.1004359695,-0.1331334409,0.268610437
-0.05,-0.04997916927,0.1151262112,0.1004297942,-0.0857333773,0.3159857997
0,0,0.1625501251,0.1004276978,-0.03830527059,0.3634055207
0.05,0.04997916927,0.2099173033,0.1004297942,0.0090577148,0.4107768918
0.1,0.09983341665,0.2571278666,0.1004359695,0.05625592765,0.4579998055
0.15,0.1494381325,0.304075481,0.1004458799,0.1031837211,0.5049672409
0.2,0.1986693308,0.3506480141,0.1004589503,0.1497301134,0.5515659148
0.25,0.2474039593,0.3967283274,0.1004743763,0.1957795748,0.59767708
0.3,0.2955202067,0.4421951731,0.1004911413,0.2412128905,0.6431774557
0.35,0.3428978075,0.4869241587,0.1005080563,0.2859080462,0.6879402712
0.4,0.3894183423,0.5307887471,0.1005238302,0.3297410866,0.7318364075
0.45,0.4349655341,0.5736612591,0.1005371754,0.3725869084,0.7747356099
0.5,0.4794255386,0.6154138503,0.1005469451,0.4143199602,0.8165077404
0.55,0.5226872289,0.6559194358,0.1005522955,0.4548148447,0.8570240268
0.6,0.5646424734,0.6950525458,0.1005528561,0.4939468336,0.896158258
0.65,0.6051864057,0.7326900956,0.1005488853,0.531592325,0.9337878662
0.7,0.6442176872,0.7687120632,0.1005413874,0.5676292885,0.969794838
0.75,0.68163876,0.803002073,0.1005321617,0.6019377495,1.004066396
0.8,0.7173560909,0.8354478877,0.1005237613,0.6344003651,1.03649541
0.85,0.7512804051,0.8659418199,0.1005193432,0.6649031335,1.066980506
0.9,0.7833269096,0.8943810752,0.1005224061,0.6933362631,1.095425887
0.95,0.8134155048,0.9206680449,0.1005364235,0.7195951979,1.121740892
1,0.8414709848,0.944710568,0.1005644012,0.7435817656,1.14583937
1.05,0.8674232256,0.966422184,0.1006084018,0.7652053805,1.167638988
1.1,0.8912073601,0.9857223971,0.1006690956,0.7843842059,1.187060588
1.15,0.9127639403,1.002536972,0.1007454065,0.8010461588,1.204027785
1.2,0.932039086,1.016798279,0.1008343213,0.8151296368,1.218466922
1.25,0.9489846194,1.028445706,0.1009309228,0.8265838602,1.230307551
1.3,0.9635581854,1.037426136,0.1010286896,0.8353687565,1.239483515
1.35,0.9757233578,1.043694514,0.101120077,0.8414543597,1.245934668
1.4,0.98544973,1.047214485,0.1011973617,0.8448197616,1.249609208
1.45,0.992712991,1.047959107,0.1012536955,0.845451716,1.250466498
1.5,0.9974949866,1.045911622,0.1012842816,0.843343059,1.248480186
1.55,0.9997837642,1.041066274,0.1012875525,0.8384911688,1.243641379
1.6,0.999573603,1.033429142,0.1012662056,0.8308967306,1.235961553
1.65,0.9968650285,1.023018975,0.1012279361,0.8205631033,1.225474848
1.7,0.9916648105,1.009867988,0.1011857012,0.8074965859,1.212239391
1.75,0.9839859469,0.9940225908,0.1011573652,0.7917078604,1.196337321
1.8,0.9738476309,0.9755440218,0.1011646075,0.7732148068,1.177873237
1.85,0.961275203,0.9545088507,0.1012310458,0.7520467591,1.156970942
1.9,0.9463000877,0.9310093186,0.1013796247,0.7282500693,1.133768568
1.95,0.928959715,0.9051534915,0.1016294507,0.70189459,1.108412393
2,0.9092974268,0.8770651998,0.1019923947,0.6730804104,1.081049989
2.05,0.8873623686,0.8468837486,0.1024699048,0.641943939,1.051823558
2.1,0.8632093666,0.8147633816,0.1030505431,0.6086622954,1.020864468
2.15,0.8368987908,0.7808724954,0.1037087442,0.573455007,0.9882899838
2.2,0.8084964038,0.7453926008,0.1044051974,0.536582206,0.9542029957
2.25,0.7780731969,0.7085170402,0.1050891058,0.4983388286,0.9186952518
2.3,0.7457052122,0.6704494729,0.1057024175,0.4590446378,0.881854308
2.35,0.7114733528,0.6314021492,0.1061860227,0.4190301039,0.8437741945
2.4,0.6754631806,0.5915939984,0.1064878823,0.3786182338,0.804569763
2.45,0.6377647021,0.5512485628,0.1065731087,0.3381023455,0.7643947802
2.5,0.5984721441,0.5105918126,0.1064360857,0.2977196413,0.723463984
2.55,0.5576837174,0.4698498809,0.1061147072,0.2576204664,0.6820792954
2.6,0.5155013718,0.4292467604,0.1057065053,0.2178337498,0.640659771
2.65,0.4720305413,0.3890020048,0.1053855194,0.178230966,0.5997730436
2.7,0.4273798802,0.3493284763,0.1054168038,0.1384948686,0.560162084
2.75,0.3816609921,0.3104301822,0.1061623367,0.09810550875,0.5227548557
2.8,0.3349881502,0.2725002391,0.1080689278,0.05636238343,0.4886380947
2.85,0.2874780123,0.2357190008,0.1116292084,0.01246058402,0.4589774176
2.9,0.2392493292,0.2002523835,0.1173159982,-0.03437961292,0.43488438
2.95,0.1904226474,0.1662504136,0.125507642,-0.0847648705,0.4172656977
3,0.1411200081,0.1338460215,0.1364339613,-0.1390219012,0.4067139442
3.05,0.09146464223,0.1031540983,0.1501637498,-0.1971734014,0.4034815979
3.1,0.04158066243,0.07427082419,0.1666303081,-0.2589897919,0.4075314403
3.15,-0.008407247367,0.04727327463,0.185674081,-0.3240748874,0.4186214367
3.2,-0.05837414343,0.02221930144,0.2070824934,-0.3919456854,0.4363842882
3.25,-0.1081951345,-0.0008523170703,0.230617955,-0.4620882272,0.460383593
3.3,-0.1577456941,-0.02192146997,0.2560340391,-0.5339895482,0.4901466082
3.35,-0.2069019717,-0.04098606826,0.283083429,-0.6071529263,0.5251807898
3.4,-0.255541102,-0.05806118124,0.3115212704,-0.6811037219,0.5649813595
3.45,-0.3035415127,-0.073177979,0.341106431,-0.755390841,0.609034883
3.5,-0.3507832277,-0.08638250819,0.3716020799,-0.829586668,0.6568216516
3.55,-0.3971481673,-0.09773432989,0.4027762576,-0.9032868451,0.7078181854
3.6,-0.4425204433,-0.1073050496,0.4344026928,-0.9761104352,0.761500336
3.65,-0.4867866487,-0.11517677,0.4662619082,-1.047700586,0.8173470465
3.7,-0.5298361409,-0.1214404957,0.4981425637,-1.117725623,0.8748446317
3.75,-0.5715613187,-0.1261945203,0.5298429482,-1.185880417,0.9334913761
3.8,-0.6118578909,-0.1295428223,0.5611725288,-1.25188788,0.9928022353
3.85,-0.6506251371,-0.1315934951,0.5919534689,-1.315500433,1.052313443
3.9,-0.6877661592,-0.1324572355,0.622022043,-1.376501321,1.11158685
3.95,-0.7231881241,-0.1322459088,0.6512298857,-1.43470568,1.170213863
4,-0.7568024953,-0.1310712099,0.6794450294,-1.489961269,1.227818849
