month,value,mean12,std12,min12,max12,cumsum,rank
1957-08,467,355.58333333333331,64.351956010864512,271,467,23545,134
1957-09,404,359.66666666666669,65.848770725508658,271,467,23949,117.5
1957-10,347,363.08333333333331,63.84421143168214,271,467,24296,100.5
1957-11,305,365.91666666666669,60.026446191859819,301,467,24601,85
1957-12,336,368.41666666666669,57.890897908100037,301,467,24937,96
1958-01,340,370.5,56.219537205818078,301,467,25277,98
1958-02,318,371.91666666666669,54.496802797517539,305,467,25595,94.5
1958-03,362,372.41666666666669,54.364858859265688,305,467,25957,109.5
1958-04,348,372.41666666666669,54.364858859265681,305,467,26305,102.5
1958-05,363,373.08333333333331,54.180604267467139,305,467,26668,111
1958-06,435,374.16666666666669,55.364631528101256,305,467,27103,129
1958-07,491,376.33333333333331,59.590013399643546,305,491,27594,137
1958-08,505,379.5,65.557053569599006,305,505,28099,138
1958-09,404,379.5,65.557053569599006,305,505,28503,117.5
1958-10,359,380.5,65.106206937727393,305,505,28862,107
1958-11,310,380.91666666666669,64.593073556807553,310,505,29172,88
1958-12,337,381,64.53047201269969,310,505,29509,97
1959-01,360,382.66666666666669,63.627228781585657,310,505,29869,108
1959-02,342,384.66666666666669,61.759553303456009,310,505,30211,99
1959-03,406,388.33333333333331,61.597422220758745,310,505,30617,121
1959-04,396,392.33333333333331,60.284678188097061,310,505,31013,116
1959-05,420,397.08333333333331,60.008269632130073,310,505,31433,126
1959-06,472,400.16666666666669,63.009138346366193,310,505,31905,135.5
1959-07,548,404.91666666666669,71.987951432966554,310,548,32453,141
1959-08,559,409.41666666666669,80.049369236437556,310,559,33012,142
1959-09,463,414.33333333333331,81.485451387832342,310,559,33475,132
1959-10,407,418.33333333333331,79.680422294122508,310,559,33882,122
1959-11,362,422.66666666666669,74.498728888891833,337,559,34244,109.5
1959-12,405,428.33333333333331,69.8300968368398,342,559,34649,119.5
1960-01,417,433.08333333333331,66.624399479924818,342,559,35066,124
1960-02,391,437.16666666666669,61.866180118253965,362,559,35457,115
1960-03,419,438.25,61.382741133733262,362,559,35876,125
1960-04,461,443.66666666666669,60.171472149234148,362,559,36337,130.5
1960-05,472,448,60.18456461736529,362,559,36809,135.5
1960-06,535,453.25,65.021849474549001,362,559,37344,140
1960-07,622,459.41666666666669,77.194510324519982,362,622,37966,144
1960-08,606,463.33333333333331,83.630500453247365,362,622,38572,143
1960-09,508,467.08333333333331,84.617275619895338,362,622,39080,139
1960-10,461,471.58333333333331,82.541954437875049,362,622,39541,130.5
1960-11,390,473.91666666666669,79.502382278009676,390,622,39931,114
1960-12,432,476.16666666666669,77.737125017977135,390,622,40363,128
