x1,x2,y,p_class0,p_class1,p_class2,y_hat
-0.5252767092,0.3942455468,0,0.9999783217,2.166421428e-05,1.409622812e-08,0
2.763953799,0.1339400907,1,6.071385891e-10,0.9999999502,4.923918167e-08,1
1.49754177,2.711869371,2,5.396292353e-06,1.790701953e-12,0.9999946037,2
-0.2476098904,-0.1176446983,0,0.9999207703,7.92295475e-05,1.391247568e-10,0
2.882487959,-0.1740627373,1,9.513223993e-11,0.9999999991,8.319843912e-10,1
1.345145093,2.357106865,2,0.0001387733101,9.445951891e-10,0.9998612257,2
-0.3482783004,0.4515267083,0,0.999964624,3.532861177e-05,4.738454169e-08,0
2.42253787,-0.1268144848,1,1.252977033e-07,0.999999866,8.744628039e-09,1
1.170645069,3.278169879,2,8.956377061e-06,1.402265656e-17,0.9999910436,2
0.08942022277,-1.263233447,0,0.9999947951,5.204905942e-06,1.791559605e-16,0
3.530968251,0.2276952967,1,8.352356594e-16,0.9999999952,4.792632265e-09,1
2.285120966,3.369908899,2,1.084155442e-10,2.392184806e-17,0.9999999999,2
0.5378130722,0.5126057123,0,0.9958458519,0.004146934119,7.213978942e-06,0
3.692555179,-0.4099597826,1,5.461647778e-17,1,1.284665315e-12,1
2.183619004,3.436357847,2,2.729581084e-10,4.437534277e-18,0.9999999997,2
-0.7595144588,-0.04148206989,0,0.9999835828,1.641715456e-05,6.299769656e-11,0
3.232526954,-0.921928261,1,2.204006087e-12,1,8.094489647e-14,1
1.55585418,3.07939025,2,6.144250654e-07,1.544253611e-15,0.9999993856,2
0.264580986,0.4904266075,0,0.9993066204,0.0006921971744,1.182381762e-06,0
3.883257572,0.4057836731,1,9.740652057e-19,0.9999999927,7.331342848e-09,1
2.504032315,2.52771422,2,3.661656213e-10,8.309680262e-10,0.9999999988,2
0.3189225591,-2.513510339,0,0.9999999999,6.594025831e-11,9.384822329e-25,0
2.142503186,-0.02847139386,1,6.386213162e-06,0.9999935429,7.092012119e-08,1
1.664432817,2.922185583,2,4.233886018e-07,4.370756248e-14,0.9999995766,2
-0.2173299983,-0.9207264599,0,0.9999912214,8.778573025e-06,6.070634263e-15,0
4.243515057,0.4259660321,1,4.655793944e-22,0.9999999988,1.237732084e-09,1
1.818687122,2.228908718,2,3.63696335e-06,2.608098226e-08,0.999996337,2
0.2188535861,-0.4732014692,0,0.9995352876,0.0004647123829,1.549455357e-11,0
2.796429211,-0.03102557476,1,3.535072762e-10,0.9999999935,6.114204642e-09,1
1.777032842,3.054141072,2,8.02002379e-08,4.119125606e-15,0.9999999198,2
0.4950388874,-0.0887976432,0,0.9946290495,0.005370942861,7.638676526e-09,0
2.591971651,-0.1538623831,1,9.879560503e-09,0.9999999867,3.404299237e-09,1
1.726009905,2.994799117,2,1.700393721e-07,1.195953348e-14,0.99999983,2
-0.8514073471,-0.8886318391,0,0.9999984971,1.502854766e-06,1.372544353e-15,0
2.568092116,0.4344581525,1,1.977777677e-08,0.9999955,4.480240351e-06,1
0.9502980035,2.891399544,2,0.0002367291983,2.336079848e-14,0.9997632708,2
-0.3134670652,-0.5262473408,0,0.9999716164,2.838363259e-05,7.557593813e-13,0
3.67102683,-0.3367897305,1,7.143475453e-17,1,3.177985523e-12,1
0.8004171878,2.968363531,2,0.0005261578871,4.375244076e-15,0.9994738421,2
0.473912726,1.385451168,0,0.9861863795,3.836002505e-05,0.01377526044,0
3.093101568,0.2937422831,1,2.781164984e-12,0.999999913,8.700716715e-08,1
1.704493451,2.994119945,2,2.104957118e-07,1.155479273e-14,0.9999997895,2
0.2363259269,-0.9895200058,0,0.9999351489,6.485109359e-05,1.802992892e-14,0
3.570284269,-0.06967670049,1,3.660373785e-16,0.9999999999,1.091751845e-10,1
1.99005024,2.51515026,2,1.201542647e-07,2.261041352e-10,0.9999998796,2
0.7842245662,-0.5451144828,0,0.9787972539,0.02120274591,1.698993401e-10,0
4.367305821,-0.241677936,1,2.43262383e-23,1,1.688420316e-13,1
1.107951665,2.607171858,2,0.0002609221725,6.48730761e-12,0.9997390778,2
0.2999661638,1.843732454,0,0.8698455817,2.307485353e-07,0.1301541876,0
2.593177954,-0.09936321245,1,9.256607663e-09,0.9999999845,6.277947135e-09,1
1.937711099,3.022845242,2,1.779610867e-08,1.13163771e-14,0.9999999822,2
-0.004019888367,0.5189485521,0,0.9998595897,0.0001400055489,4.047276226e-07,0
3.256237712,-0.2326089666,1,1.54865167e-13,0.9999999999,8.039019871e-11,1
2.07975306,3.391966613,2,9.869902003e-10,8.546806948e-18,0.999999999,2
-0.2900254472,0.1302833487,0,0.9999312002,6.879781566e-05,1.956999097e-09,0
2.999434679,0.6962956105,1,3.717928673e-11,0.9999743184,2.568156018e-05,1
0.9798983606,3.078171166,2,8.714469224e-05,6.158283648e-16,0.9999128553,2
0.2911723304,-0.438470981,0,0.9992060483,0.0007939516509,3.501819207e-11,0
3.870301689,0.3363252436,1,1.125604847e-18,0.9999999968,3.208326988e-09,1
1.224667682,3.360258869,2,4.318056401e-06,2.796118054e-18,0.9999956819,2
-0.06718950908,-0.2043558469,0,0.9998354564,0.0001645434714,1.065637062e-10,0
2.649982793,0.5265796772,1,6.870468802e-09,0.9999891168,1.087635158e-05,1
1.651461483,3.005596121,2,3.352419948e-07,8.19944152e-15,0.9999996648,2
0.6868872425,0.4046758504,0,0.9837750792,0.01621890426,6.016526285e-06,0
2.839276743,-0.5781822094,1,4.67106551e-10,0.9999999995,1.341706876e-11,1
1.851501958,3.623638673,2,5.48441903e-09,3.516708351e-20,0.9999999945,2
0.6179891092,-0.8733541515,0,0.9984001053,0.001599894738,7.633542477e-13,0
4.588753057,-0.1769801242,1,1.378455463e-25,1,8.737356543e-14,1
1.74520566,3.867460678,2,9.042520166e-09,1.328487936e-22,0.999999991,2
0.7532136389,-0.8872398232,0,0.9956640958,0.004335904208,1.480322428e-12,0
3.213161739,-0.2538761954,1,3.474619532e-13,0.9999999999,7.779756999e-11,1
1.943097729,2.29468521,2,6.933797884e-07,1.111063322e-08,0.9999992955,2
0.04270407534,0.5716872055,0,0.9998440322,0.0001551086557,8.591715662e-07,0
2.431642618,-0.5913515449,1,2.871391735e-07,0.9999997128,6.024831793e-11,1
1.072252909,3.029408658,2,5.078655879e-05,1.83535837e-15,0.9999492134,2
0.5849675782,-0.07359298861,0,0.989590577,0.01040940728,1.567656768e-08,0
2.838218217,-0.06363845752,1,1.808875706e-10,0.9999999963,3.52432656e-09,1
1.340744027,2.398477999,2,0.0001138802144,4.440430599e-10,0.9998861193,2
-0.1506086807,-0.08986252973,0,0.9998765015,0.0001234981777,2.853023038e-10,0
3.836331304,0.3341545816,1,2.250756462e-18,0.9999999962,3.750440413e-09,1
2.744570605,2.621897518,2,1.176499578e-11,3.248776308e-10,0.9999999997,2
0.01859710021,0.2089813379,0,0.9997291096,0.0002708729241,1.743631978e-08,0
3.200950772,-0.307372831,1,4.72837993e-13,1,4.575686206e-11,1
1.386274473,2.334708143,2,0.0001103256047,1.526592077e-09,0.9998896729,2
-0.8976123025,1.223591095,0,0.9999892279,3.025339233e-07,1.046958001e-05,0
3.546134555,-0.4355635157,1,1.01906126e-15,1,2.106420021e-12,1
1.634809651,3.580610623,2,5.346329186e-08,5.558379986e-20,0.9999999465,2
0.509012209,-0.9254004897,0,0.9994462096,0.000553790377,1.945429373e-13,0
2.68015704,0.2209465926,1,2.475824165e-09,0.999999799,1.985303451e-07,1
1.183594731,1.952934554,2,0.006702975236,8.02003954e-07,0.9932962228,2
-0.02277180141,0.9681941275,0,0.999949504,2.359899575e-05,2.689696511e-05,0
2.476605675,-0.2508566975,1,6.476697538e-08,0.9999999334,1.802126449e-09,1
1.642922547,1.953906741,2,0.0001183577143,2.003577604e-06,0.9998796387,2
-0.1186684606,-0.0949795782,0,0.999857302,0.00014269768,3.079645004e-10,0
2.741301317,0.07534282553,1,8.562125902e-10,0.9999999724,2.673735397e-08,1
2.171423518,4.244071793,2,5.284332007e-11,6.756317662e-26,0.9999999999,2
-0.5911173277,-0.8746254319,0,0.9999970829,2.917117566e-06,3.202975606e-15,0
3.330860399,0.03343568621,1,3.275365183e-14,0.9999999988,1.203198385e-09,1
1.854240229,2.992088483,2,4.778850117e-08,1.699672644e-14,0.9999999522,2
-0.7365109184,-0.2470935265,0,0.9999857137,1.428632577e-05,6.127463731e-12,0
1.887951114,0.3168153309,1,0.0002235458754,0.9997667439,9.710235032e-06,1
2.425167427,2.771919536,2,2.583891037e-10,6.22536412e-12,0.9999999997,2
-0.002977493358,-0.3729468909,0,0.9998290417,0.0001709583254,1.84554617e-11,0
3.145430925,-0.6442694964,1,3.148047395e-12,1,1.75810522e-12,1
1.286333107,2.590961032,2,6.42989275e-05,1.173657851e-11,0.9999357011,2
0.3673073604,-0.1264197538,0,0.9978235937,0.002176403985,2.356083522e-09,0
2.504191366,0.09892186634,1,3.482668478e-08,0.9999998763,8.884036675e-08,1
1.365522812,2.965818514,2,5.545988568e-06,1.026831354e-14,0.999994454,2
